               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.052383,            0.084926,            0.051448,             0.50913,             0.36504,             0.38324,             0.20829,            0.047138,            0.053809,            0.027134,            0.070005,           0.0033327,           0.0033327
                   1,            0.051713,            0.081957,            0.048757,             0.49095,             0.35128,             0.36758,             0.19759,            0.047514,            0.054188,            0.027691,            0.036706,           0.0033664,           0.0033664
